changeID,project,insertions,deletions,accountID,verified
1,458201,openstack/glance_store,7,1,4523
1,428060,openstack-infra/elastic-recheck,3,0,12021
1,458925,openstack/barbican,45,10,1091
1,458086,openstack-infra/system-config,1,1,9139
0,321368,openstack-dev/ci-sandbox,2,0,18741
1,403826,openstack/governance,64,0,2472
1,456285,openstack/cinder,81,172,12670
0,448423,openstack/fuel-library,1,1,15984
0,293470,openstack/sahara-tests,86,0,13919
0,343457,openstack-dev/ci-sandbox,1,0,22495
1,401879,openstack/fuel-web,2,2,21387
1,436752,openstack/governance-uc,48,0,17556
0,409384,openstack-dev/ci-sandbox,0,0,22656
1,438795,openstack-infra/jenkins-job-builder,4,1,25313
1,405333,openstack-infra/zuul,1,1,9311
1,439987,openstack/congress,1,0,12898
0,281789,openstack/fuel-web,20,5,18747
1,453146,openstack/kolla-ansible,10,0,19316
0,347240,openstack-dev/ci-sandbox,1,0,22495
1,339864,openstack/fuel-plugin-ldap,1,1,22677
0,398402,openstack-dev/ci-sandbox,0,20,18412
0,342782,openstack-dev/ci-sandbox,1,0,22495
0,449934,openstack/nova,1,1,22429
1,345168,openstack/monasca-api,93,0,11671
0,398400,openstack-dev/ci-sandbox,1,0,18412
0,343558,openstack-dev/ci-sandbox,1,0,22495
1,340728,openstack-dev/ci-sandbox,1,0,22495
1,435097,openstack/snap-neutron,1,1,17505
1,342247,openstack-dev/sandbox,3,0,18466
0,453571,openstack/nova,21,61,8556
1,430469,openstack/cinder,1,1,23185
0,139488,openstack/powervc-driver,1,1,5263
0,343266,openstack-dev/ci-sandbox,1,0,22495
1,446495,openstack/tripleo-validations,22,0,25439
1,429595,openstack/fuel-ui,2,2,8766
0,345237,openstack-dev/ci-sandbox,1,0,22495
0,334943,openstack/python-muranoclient,1,0,14937
1,347341,openstack/fuel-ostf,10,0,7227
1,447843,openstack/heat,101,83,13564
1,295361,openstack-infra/puppet-ssl_cert_check,1,1,12804
1,336376,openstack/fuel-plugin-scaleio-cinder,1,0,21428
1,436929,openstack/kolla-ansible,29,7,14826
0,302641,openstack/sahara-tests,80,6,13919
0,410724,openstack/rpm-packaging,85,0,7102
0,284738,openstack/neutron,143,102,9178
0,334762,openstack-dev/ci-sandbox,1,0,21976
1,398738,openstack/python-cloudkittyclient,18,6,23654
0,336162,openstack-dev/ci-sandbox,1,0,21976
0,430931,openstack/fuel-library,4,4,24418
0,383726,openstack/nova,144,0,12712
1,444586,openstack/diskimage-builder,861,201,21741
1,437136,openstack/oslo.utils,90,0,8119
1,386147,openstack/fuel-plugin-qlogic-sriov-vxlan,66,25,21764
0,430213,openstack/nova,6,2,9555
0,347135,openstack-dev/ci-sandbox,1,0,22495
1,453928,openstack/ironic,1,1,14760
1,241451,openstack-infra/jeepyb,420,8,9369
0,336865,openstack-dev/ci-sandbox,1,0,21976
0,346369,openstack-dev/ci-sandbox,1,0,22495
0,431039,openstack/nova,113,139,15334
0,341198,openstack/nova,75,5,12932
1,456198,openstack/nova,12,7,21813
1,453617,openstack/cinder,43,40,11600
1,344272,openstack/python-ironicclient,63,0,17270
1,342770,openstack/swift,430,432,18602
0,337520,openstack-dev/ci-sandbox,1,0,21976
0,337876,openstack-dev/ci-sandbox,1,0,21976
1,426274,openstack/puppet-tripleo,3,0,10873
0,445668,openstack/nova,128,130,1063
1,422437,openstack/trove,9,5,22694
1,452454,openstack/horizon,2,0,24056
0,337483,openstack-dev/ci-sandbox,1,0,21976
1,415023,openstack/diskimage-builder,0,0,4162
0,338929,openstack/nova,11,4,10135
1,403490,openstack/magnum,72,0,23012
0,262390,openstack/rally,145,0,1795
0,442698,openstack/charm-ceph-osd,326,77,20805
1,382091,openstack/ironic-specs,255,0,7080
1,450104,openstack/ironic,129,7,14525
1,455115,openstack/cinder,6,0,6491
1,453330,openstack/neutron,42,8,12021
0,336828,openstack-dev/ci-sandbox,1,0,21976
1,457720,openstack-infra/system-config,4,0,4162
1,443205,openstack/tempest,9,0,19262
1,399794,openstack/monasca-api,219,0,14517
1,279096,openstack/heat,144,1,9542
0,445670,openstack/nova,84199,47927,1063
1,409721,openstack/trove-dashboard,136,91,21668
0,409907,openstack-dev/devstack,18,2,23122
1,361515,openstack-infra/log_processor,94,0,6039
0,398490,openstack-dev/ci-sandbox,2,0,18412
0,347323,openstack-dev/ci-sandbox,1,0,22495
1,375950,openstack/swift,46,1,23641
1,442662,openstack/python-neutronclient,25,10,1131
1,438472,openstack/group-based-policy,154,2,24801
0,352005,openstack-dev/ci-sandbox,1,0,22495
0,410216,openstack/nova,10,6,14819
0,364155,openstack-dev/ci-sandbox,0,1,20303
1,393356,openstack/watcher,31,2,18971
1,336445,openstack/manila-ui,17,30,6914
0,441266,openstack-dev/devstack,2,2,11904
1,392545,openstack/python-glanceclient,153,143,22834
0,337474,openstack-dev/ci-sandbox,1,0,21976
0,375551,openstack-dev/sandbox,1,0,23579
0,236332,openstack/fuel-astute,1,1,5263
1,324712,openstack/fuel-qa,84,0,16106
1,439491,openstack/charm-designate-bind,4,6,25254
0,320921,openstack-dev/ci-sandbox,3,0,18741
1,446172,openstack-infra/zuul,8,0,4162
1,427201,openstack/charm-keystone,337,36,6737
0,454330,openstack/vmware-nsx,7,0,23251
1,397559,openstack/fuel-plugin-contrail,9,9,23303
1,370035,openstack/manila,1,0,14567
0,370283,openstack/fuel-ccp,24,10,12039
1,453541,openstack/ironic,76,34,6637
0,395283,openstack/murano,130,113,24119
0,334748,openstack-dev/ci-sandbox,1,0,21976
0,420741,openstack/fuel-ccp-debian-base,2,4,18652
0,342774,openstack-dev/ci-sandbox,1,0,22495
0,436344,openstack/fuel-ui,9,6,8766
0,458010,openstack/rally,1,1,9545
1,379778,openstack/cinder-specs,158,0,1736
1,451506,openstack/ironic,658,630,12356
0,432511,openstack/nova,28,2,18335
0,302260,openstack/python-fuelclient,1,1,21229
0,402372,openstack/nova,90,7,15888
0,420298,openstack/nova,3,2,23975
0,248027,openstack/murano,118,0,10507
1,458808,openstack/instack-undercloud,5,5,10873
1,421551,openstack/fuel-web,81,2,15140
1,450303,openstack/tripleo-heat-templates,90,0,8648
1,426279,openstack/fuel-agent,1,4,13344
0,396125,openstack-dev/ci-sandbox,1,0,22312
0,426193,openstack/fuel-library,2,1,13344
0,445440,openstack/cinder,138,1,23083
1,409644,openstack/nova,51,2,20182
0,385074,openstack/nova,12,26,15334
0,437984,openstack/fuel-library,77,103,18795
0,458879,openstack/fuel-library,176,1,7468
0,405118,openstack/nova,15,1,5754
1,346491,openstack-dev/ci-sandbox,1,0,22495
1,413384,openstack/python-oneviewclient,34,2,12898
0,321342,openstack-dev/ci-sandbox,1,0,18741
0,316556,openstack-dev/ci-sandbox,1,0,21817
0,335947,openstack/murano,119,4,13931
0,439108,openstack-dev/devstack,4,61,2472
0,365120,openstack-dev/sandbox,1,0,23426
1,447829,openstack/python-tackerclient,0,20,8976
1,454690,openstack/kolla-ansible,41,4,1390
0,337283,openstack-dev/ci-sandbox,1,0,21976
1,452857,openstack/kolla-kubernetes,0,673,2834
1,449668,openstack/fuel-library,4,2,13344
0,375559,openstack-dev/sandbox,7,0,23569
0,390329,openstack-dev/sandbox,2,0,21670
1,458217,openstack/cinder,0,12,23276
0,401922,openstack-dev/ci-sandbox,1,0,23613
1,450588,openstack/tempest,8,5,18339
0,187457,openstack/oslo.vmware,21,0,10327
0,458203,openstack/rpm-packaging,1,1,17130
1,321005,openstack/freezer,5,7,1054
0,334950,openstack-dev/ci-sandbox,1,0,21976
1,349262,openstack/fuel-library,8,0,7562
1,352101,openstack/kolla,2907771,0,2834
0,323255,openstack-dev/ci-sandbox,1,1,21976
0,379525,openstack/nova,194,2,15334
1,436989,openstack/cinder,253,62,22683
1,246695,openstack-infra/meetbot,87,0,12898
1,458357,openstack/networking-vpp,16,1,3217
1,362718,openstack/browbeat,11,0,19853
1,458536,openstack-dev/devstack,1,1,2750
0,441204,openstack/nova,33,16,10135
1,451368,openstack/heat-specs,204,0,17842
0,337194,openstack-dev/ci-sandbox,1,0,21976
0,442743,openstack/charm-openstack-dashboard,532,82,20805
0,312230,openstack-dev/devstack,28,44,6486
0,345250,openstack-dev/ci-sandbox,1,0,22495
1,333569,openstack/nova,229,100,8213
0,346311,openstack-dev/ci-sandbox,1,0,22495
0,352004,openstack-dev/ci-sandbox,1,0,22495
0,397483,openstack-dev/ci-sandbox,0,0,23729
1,458787,openstack/networking-fujitsu,762,390,13702
1,337830,openstack/searchlight,23,0,7665
0,343527,openstack-dev/ci-sandbox,1,0,22495
0,349504,openstack/rally,3,0,12395
1,423904,openstack-infra/system-config,31,4,7118
0,397548,openstack/python-fuelclient,11,10,23303
0,412634,openstack/nova,90,114,19590
1,457768,openstack/keystone,30,10,11022
0,420635,openstack/rally,136,0,18404
0,343432,openstack-dev/ci-sandbox,1,0,22495
0,335025,openstack-dev/ci-sandbox,1,0,22495
1,452811,openstack/networking-ovn,335,0,1561
1,358489,openstack/python-glanceclient,0,9,22020
0,383924,openstack/nova,23,188,23733
0,343330,openstack-dev/ci-sandbox,1,0,22495
1,398715,openstack/neutron-lbaas,2,3,20256
1,233357,openstack/ironic,258,15,6610
1,452870,openstack/kolla-ansible,1,1,11131
1,458304,openstack/karbor-dashboard,2,2,25067
0,346325,openstack-dev/ci-sandbox,1,0,22495
1,353363,openstack/manila,2,1,15100
0,359879,openstack/nova,39,48,21239
0,458852,openstack/rally,2,0,21800
1,458955,openstack/barbican-tempest-plugin,10,0,8623
1,419744,openstack/vitrage,4,1,21614
0,453938,openstack/nova,54,3,24777
1,342435,openstack-infra/system-config,4,2,9624
0,366710,openstack/fuel-library,45,7,10391
1,454607,openstack/tricircle,630,51,12076
0,337217,openstack-dev/ci-sandbox,1,0,21976
1,394335,openstack/freezer-web-ui,1,1,22619
0,337875,openstack-dev/ci-sandbox,1,0,21976
0,459113,openstack/nova,55,0,6873
0,447457,openstack/charm-keystone,1266,100,20870
0,336861,openstack-dev/ci-sandbox,1,0,21976
0,288271,openstack/neutron,278,44,17491
0,421863,openstack/neutron,213,144,17491
1,444138,openstack/magnum,72,0,23012
1,451120,openstack-dev/devstack,36,16,2750
0,346428,openstack-dev/ci-sandbox,1,0,22495
0,458257,openstack/nova,101,14,14070
0,452265,openstack/charm-ceph-mon,7,6,8992
1,307967,openstack-infra/system-config,12,7,4146
0,346415,openstack-dev/ci-sandbox,1,0,22495
0,408083,openstack/rally,66,7,10475
1,298146,openstack/fuel-library,2,2,20313
0,345187,openstack-dev/ci-sandbox,1,0,22495
1,376527,openstack/fuel-web,35,4,20384
0,345169,openstack-dev/ci-sandbox,1,0,22495
0,421093,openstack/rally,192,0,18404
0,456332,openstack/neutron,2,1,9656
0,390660,openstack/nova,195,0,5441
0,313624,openstack-dev/sandbox,2,0,21668
1,158003,openstack/neutron,123,0,9237
0,261559,openstack/rally,475,1,8491
0,453117,openstack/sahara-tests,4,2,13919
0,343269,openstack-dev/ci-sandbox,1,0,22495
0,451346,openstack/nova,0,13,5754
0,437775,openstack/neutron,53,29,6854
1,343279,openstack-dev/ci-sandbox,1,0,22495
0,343140,openstack-dev/ci-sandbox,1,0,22495
1,402984,openstack-infra/puppet-subunit2sql,3,2,7979
0,413555,openstack/nova,31,1,14819
1,433341,openstack/cinder,1953,0,24757
0,431722,openstack/nova,95,669,4393
0,376000,openstack-dev/sandbox,1,0,23665
1,412834,openstack-dev/sandbox,1,1,24307
0,337195,openstack-dev/ci-sandbox,1,0,21976
0,334987,openstack-dev/ci-sandbox,1,0,21976
0,190934,openstack/compass-adapters,19765,1086,10028
1,351809,openstack/fuel-web,18,12,21591
1,440913,openstack/tempest,26,0,21897
1,413301,openstack/monasca-transform,1,1,12898
0,457336,openstack/nova,29,8,6873
1,449419,openstack/cinder,1,1,25312
1,407922,openstack/kolla-ansible,69,0,22582
0,343561,openstack-dev/ci-sandbox,1,0,22495
0,433928,openstack/charm-neutron-api,45,1,24297
1,418684,openstack/fuel-agent,0,78,19456
0,370565,openstack/fuel-ccp-ci-config,1,0,14644
0,363538,openstack-dev/ci-sandbox,0,1,20303
1,458998,openstack/puppet-horizon,3,3,14985
0,338158,openstack-dev/ci-sandbox,1,0,22495
0,394977,openstack-dev/ci-sandbox,0,0,23729
0,402163,openstack/nova,88,94,10135
1,433489,openstack/manila,111,1,23083
1,441145,openstack/kolla-kubernetes,7,5,14447
0,337309,openstack-dev/ci-sandbox,1,0,21976
1,349730,openstack/qa-specs,156,0,1921
1,454887,openstack/nova,63,2,6873
0,454940,openstack/nova,89,8,8802
0,343426,openstack-dev/ci-sandbox,1,0,22495
1,390512,openstack/nova-specs,319,0,3217
0,346433,openstack-dev/ci-sandbox,1,0,22495
1,444034,openstack-infra/zuul,32,2,6589
0,398867,openstack-dev/ci-sandbox,1,0,23613
1,347025,openstack/vitrage,4,4,681
0,352693,openstack/neutron-lbaas,11,0,14562
1,390605,openstack/osops-tools-generic,12,8,6851
1,411836,openstack/nova,58,0,20411
0,451986,openstack/nova,56,45,6167
0,338578,openstack-dev/ci-sandbox,1,1,21990
1,404583,openstack/nova,9,0,8289
1,436450,openstack/proliantutils,176,77,15074
1,431692,openstack/python-swiftclient,24,15,11131
1,436044,openstack/networking-hyperv,755,0,13539
1,411026,openstack/swift3,23,2,15343
0,444230,openstack/nova,6,23,17922
0,456988,openstack/nova,12,10,9562
0,337451,openstack-dev/ci-sandbox,1,0,21976
0,451344,openstack/charm-ceilometer,444,104,20870
1,454489,openstack/interop,6,1,20190
1,428815,openstack/kolla-ansible,8,0,11221
1,437779,openstack/neutron-lbaas,21,15,6854
1,438779,openstack/heat,65,79,8289
0,446244,openstack/nova,18,2,4393
0,345182,openstack-dev/ci-sandbox,1,0,22495
0,313619,openstack-dev/sandbox,2,0,21668
1,444970,openstack/nova,18,19,15847
1,445596,openstack-infra/elastic-recheck,0,3,9656
1,342857,openstack/swift,655,0,15343
0,346304,openstack-dev/ci-sandbox,1,0,22495
0,439121,openstack/nova,1,1,2
1,222791,openstack-infra/zuul,2,0,2475
1,432553,openstack-dev/sandbox,1,0,25156
0,338604,openstack-dev/ci-sandbox,1,1,21990
0,391444,openstack/nova,23,16,5280
1,362473,openstack/keystoneauth,66,2,2
0,399493,openstack-dev/ci-sandbox,1,0,23613
0,443764,openstack/nova,31,38,9708
1,457793,openstack-infra/project-config,16,16,6593
1,310074,openstack/keystone,89,22,2218
0,323643,openstack/vmware-nsx,100,1,22078
0,335002,openstack-dev/ci-sandbox,1,0,21976
0,406816,openstack-dev/ci-sandbox,2,0,23613
1,444908,openstack/oslo.log,33,9,15122
0,423288,openstack/rpm-packaging,1,1,16367
0,335032,openstack-dev/ci-sandbox,1,0,22495
1,434999,openstack/service-types-authority,3,0,11628
0,390321,openstack-dev/sandbox,13,0,21014
0,452675,openstack/sahara,1,0,23733
0,455007,openstack/nova,9,96,6873
1,440936,openstack/swift,95,120,4608
0,310887,openstack-dev/ci-sandbox,0,0,11751
1,372274,openstack/puppet-tripleo,143,1,8298
1,454092,openstack/fuel-library,1,0,13344
1,451253,openstack/tacker,4,0,19644
1,459042,openstack/cinder,60,42,16203
0,380959,openstack/fuel-library,2,2,16261
1,445550,openstack/ironic,138,38,22724
